date,priority,headline,time_ago,link,title,address,clean_address,latlng,case,content
2019-04-29 03:42:00,Alert,Update: People's Park Shooting ,"Entered: 2 months, 3 weeks ago",/alert/7255488/,Homicide,People’s Park,"People's Park, 2556 Haste St, Berkeley, CA 94704, USA","(37.8658134, -122.2570583)",UCPD Case # 19-01134,"['UPDATE:', 'The University of California Police Department in Berkeley (UCPD), working with Alameda County Coroner’s Office, has confirmed the identity of the victim from the Friday afternoon fatal shooting at People’s Park.', 'The victim has been identified as 43 year-old Calvin Kelley of Berkeley.', ""The individual now considered the primary suspect in the People's Park shooting was arrested in Nevada late Friday in connection with shootings in Oakland, San Francisco and Nevada. UCPD has been in communication with detectives from the Oakland and San Francisco police departments, as well as the Douglas County Sheriff’s Office regarding the suspect's link to the People's Park case. The investigation remains underway."", 'UCPD encourages anyone with information regarding this incident to call 510-642-6760.', 'If you have any information about this crime, please contact:', 'University of California Police Department', 'Criminal Investigation Bureau', '(510) 642-0472 / 8AM–5PM / Monday through Friday, except holidays', '(510) 642-6760 / All other times', 'UCPD would like to remind the campus community about the following safety tips:', 'Watch where you are going and what is going on around you.', 'If harassed or assaulted, scream and attempt to run for safety.', 'If you need help, dial 911 or use a Blue Light emergency phone (located throughout the campus and identified by a blue light on top of the phone box or column).', 'Please do not delay in calling 911. UCPD strongly encourages the reporting of criminal or suspicious activity in a timely manner to assist us in intervening in potential criminal actively and apprehending suspects.', 'If a motor vehicle is involved in a crime, report the following information: activity, direction of travel, license plate, color, make/model, number of occupants, unusual characteristics (e.g., dents, bumper stickers, graphics, wheels, tinted windows, lifted/lowered, etc.).', 'Clery Timely Warnings are released by the University California Police Department when certain crimes are reported on or near campus property, in compliance with federal law. These timely warnings provide information about campus safety situations, and allow campus community members to take precautions for personal safety. The reported information may not have been investigated or confirmed at the time the issuance of the warning.', '(Physical descriptions of a suspect, including race are included in timely warnings only when they provide several details that might help distinguish the suspect’s appearance from the general population.)']"
2019-04-28 09:43:00,Advisory,Timely Warning ,"Entered: 2 months, 3 weeks ago",/alert/7253168/,Sexual Assault,2700 Block of Channing Way,"2700 Channing Way, Berkeley, CA 94704, USA","(37.8673554, -122.2540587)",False,"['City of Berkeley Police Department Jurisdiction', 'On April 28th 2019, a survivor reported being the victim of a sexual assault while at a fraternity located on the 2700 block of Channing Way in the City of Berkeley’s Police Department Jurisdiction. The survivor is a UC Berkeley student. BPD case #19-22760.', 'There is no suspect information at this time.', 'If you have any information about this crime or the suspect, please contact:', 'Berkeley Police Department', '(510) 981-5900 / 24 Hours', 'No action or inaction by a crime survivor makes that person responsible for his or her victimization. Perpetrators are responsible for crimes and their effects. The following suggestions may help reduce the possibility of experiencing a crime, or may improve opportunities to receive prompt assistance.', 'UCPD would like to remind the campus community about the following safety tips:', '- 80% of sexual assault and rapes are perpetrated by someone known to the survivor, and on college campuses 90% of survivors know their attacker.', '- Sexual assault and rape can happen to people in all contexts, including marriage, dating relationships, friendships, child-parent interactions, employer-attendant relationships and stranger interactions.', 'If you have been the victim of a violent crime the following resources are available to you:', '- Center for Student Conduct - (510) 643-9069', '- Tang Center Counseling and Psychological Services for Students - (510) 642-9494', '- Bay Area Women Against Rape (BAWAR) - 24-hr line (510) 845-RAPE (7273)', '- The Survivor Support Website - http://survivorsupport.berkeley.edu/', '- Gender Equity Resource Center - (510) 643-5727', 'This crime alert has been released with the joint cooperation of BPD and UCPD.', 'Clery Timely Warnings are released by the University California Police Department when certain crimes are reported on or near campus property, in compliance with federal law. These timely warnings provide information about campus safety situations, and allow campus community members to take precautions for personal safety. The reported information may not have been investigated or confirmed at the time the issuance of the warning.', '(Physical descriptions of a suspect, including race are included in timely warnings only when they provide several details that might help distinguish the suspect’s appearance from the general population.)']"
2019-04-27 02:51:00,Alert,Update: People's Park Shooting ,"Entered: 2 months, 3 weeks ago",/alert/7252234/,False,False,"Berkeley, CA, USA","(37.8715226, -122.273042)",False,"[""UCPD Berkeley is continuing to investigate the homicide which occurred in People's Park on the afternoon of Friday, April 26, 2019. Our investigators are in communication with detectives from the Oakland Police Department and the San Francisco Police Department regarding the homicide suspect who was arrested in Nevada later that day, and we are also considering him a suspect in the People's Park homicide. We encourage anyone with additional information to contact UCPD, OPD or SFPD without delay.""]"
2019-04-26 08:25:00,Advisory,Timely Warning ,"Entered: 2 months, 3 weeks ago",/alert/7251016/,Homicide,People’s Park,"People's Park, 2556 Haste St, Berkeley, CA 94704, USA","(37.8658134, -122.2570583)",UCPD Case # 19-01134,"['On April 26, 2019 at about 2:40 PM, UCPD and BPD officers responded to People’s Park to investigate a shooting. Officers discovered that a man had been shot by a male suspect. The suspect fled the area in a car. The victim was transported to a local hospital and subsequently died. Initial investigation indicates that the shooting was not a random act. It appears that neither the victim nor the suspect is affiliated with UC Berkeley. UCPD is continuing to investigate and encourages anyone with additional information to contact us as soon as possible.', 'If you have any information about this crime, please contact:', 'University of California Police Department', 'Criminal Investigation Bureau', '(510) 642-0472 / 8AM–5PM / Monday through Friday, except holidays', '(510) 642-6760 / All other times', 'UCPD would like to remind the campus community about the following safety tips:', 'Watch where you are going and what is going on around you.', 'If harassed or assaulted, scream and attempt to run for safety.', 'If you need help, dial 911 or use a Blue Light emergency phone (located throughout the campus and identified by a blue light on top of the phone box or column).', 'Please do not delay in calling 911. UCPD strongly encourages the reporting of criminal or suspicious activity in a timely manner to assist us in intervening in potential criminal actively and apprehending suspects.', 'If a motor vehicle is involved in a crime, report the following information: activity, direction of travel, license plate, color, make/model, number of occupants, unusual characteristics (e.g., dents, bumper stickers, graphics, wheels, tinted windows, lifted/lowered, etc.).', 'Clery Timely Warnings are released by the University California Police Department when certain crimes are reported on or near campus property, in compliance with federal law. These timely warnings provide information about campus safety situations, and allow campus community members to take precautions for personal safety. The reported information may not have been investigated or confirmed at the time the issuance of the warning.', '(Physical descriptions of a suspect, including race are included in timely warnings only when they provide several details that might help distinguish the suspect’s appearance from the general population.)']"
2019-04-26 05:39:00,Alert,"Update regarding shooting incident. People's Park is all clear, UCPD is continuing to investigate.  ","Entered: 2 months, 3 weeks ago",/alert/7250824/,False,False,"Berkeley, CA, USA","(37.8715226, -122.273042)",False,[]
2019-04-26 03:29:00,Alert,Police investigating shooting at People's Park. Suspect fled the area.  ,"Entered: 2 months, 3 weeks ago",/alert/7250560/,False,False,"Berkeley, CA, USA","(37.8715226, -122.273042)",False,[]
2019-04-26 03:15:00,Alert,"Police activity at People's Park, stay out of the area.  ","Entered: 2 months, 3 weeks ago",/alert/7250528/,False,False,"Berkeley, CA, USA","(37.8715226, -122.273042)",False,[]
2019-04-26 09:50:00,Community,Crime Advisory ,"Entered: 2 months, 3 weeks ago",/alert/7249676/,Aggravated Assault,2500 Block of Dwight Way,"2500 Dwight Way, Berkeley, CA 94704, USA","(37.8651372, -122.2584251)",UCPD Case # 19-01125 ,"['City of Berkeley Police Department Jurisdiction', 'On April 25, 2019 at about 10:15 PM, an aggravated assault occurred on the 2500 block of Dwight Way, west of People’s Park. A man reported to UCPD that he was standing outside a local business talking to an acquaintance when the suspect approached him and began asking him questions that he did not want to answer. When the victim did not answer, the suspect began punching him in the face. The victim fell to the ground and the suspect kicked him repeatedly in the stomach and once in the face. The victim sustained a laceration to his face and was transported to a hospital for treatment. UCPD officers searched for the suspect, but were not able to find him. The victim was not affiliated with UC Berkeley.', 'If you have any information about this crime, please contact: ', 'City of Berkeley Police Department', '(510) 981-5900 / 24 Hours', 'UCPD would like to remind the campus community about the following safety tips:', 'Avoid dark, vacant or deserted areas', 'If you need help dial 911 or use a Blue Light emergency phone (located throughout the campus and identified by a blue light on top of the phone box or column).', 'Please do not delay in calling 911. UCPD strongly encourages the reporting of criminal or suspicious activity in a timely manner to assist us in intervening in potential criminal actively and apprehending suspects.', 'If a motor vehicle is involved in a crime report the following information: activity, direction of travel, license plate, color, make/model, unusual characteristics (e.g., dents, bumper stickers, graphics, wheels, tinted windows, lifted/lowered), number of persons, etc.', 'Thiscrimealerthas been released with the joint cooperation of BPD and UCPD.', 'Clery Timely Warnings are released by the University California Police Department when certain crimes are reported on or near campus property, in compliance with federal law. These timely warnings provide information about campus safety situations, and allow campus community members to take precautions for personal safety. The reported information may not have been investigated or confirmed at the time the issuance of the warning.', '(Physical descriptions of a suspect, including race are included in timely warnings only when they provide several details that might help distinguish the suspect’s appearance from the general population.)']"
2019-04-25 11:45:00,Advisory,Timely Warning ,"Entered: 2 months, 3 weeks ago",/alert/7247766/,Attempt Armed Robbery,West Crescent/Grinnell Path,"2121 Berkeley Way, Berkeley, CA 94704, USA","(37.8734672, -122.2679316)",UCPD Case # 19-01115,"['On April 24th at 10:23 pm, UCPD received a report of an attempted robbery (via handgun) that had occurred at the West Crescent on the UC Berkeley campus. The attempted robbery had occurred at 9:57 pm. The victim, a 33-year old campus affiliate, was entering Grinnell Path when he was approached from behind by a suspect armed with a handgun. The suspect demanded the victim’s property but fled to a waiting car without obtaining any property. The victim was not injured during the incident. The suspects and associated vehicle are believed to be related to three other armed robberies that occurred in the City of Berkeley within the same timeframe. The robberies occurred on the 2300 block of Warring Street, 2500 block of Benvenue Avenue and near Fulton Street/Haste Street.', 'UCPD and BPD officers searched the area but the suspects were not located.', 'If you have any information about this crime, please contact:', 'University of California Police Department', 'Criminal Investigation Bureau', '(510) 642-0472 / 8AM–5PM / during business hours, except holidays', '(510) 642-6760 / All other times', 'UCPD would like to remind the campus community about the following safety tips:', '- Utilize the free Night Safety Services located at http://nightsafety.berkeley.edu ', '- Travel with a friend or in a group', '- Be alert and aware of your surroundings', '- When out and about, keep your electronic devices out of public view as they are a popular robbery target', '- Please do not delay in calling law enforcement. UCPD strongly encourages the reporting of criminal or suspicious activity in a timely manner to assist us in intervening in potential criminal activity and apprehending suspects.', 'This crime alert has been released with the joint cooperation of BPD and UCPD. ', 'Clery Timely Warnings are released by the University California Police Department when certain crimes are reported on or near campus property, in compliance with federal law. These timely warnings provide information about campus safety situations, and allow campus community members to take precautions for personal safety. The reported information may not have been investigated or confirmed at the time the issuance of the warning.', '(Physical descriptions of a suspect, including race are included in timely warnings only when they provide several details that might help distinguish the suspect’s appearance from the general population.)']"
2019-04-17 11:16:00,Advisory,"Community Advisory regarding an anonymous, non-specific bomb threat the campus received.  ",Entered: 3 months ago,/alert/7232604/,False,False,"Berkeley, CA, USA","(37.8715226, -122.273042)",False,"['Today the campus received an anonymous, non-specific bomb threat. There is no reason to believe any explosives have been sent to or placed at the University, but UCPD asks the community to stay vigilant and report any suspicious packages or items without delay.', 'To report any suspicious packages or items discovered on campus or other related concerns, please contact UCPD:', '510-642-6760 (24-hr, non-emergency)']"
2019-04-15 12:21:00,Advisory,"Sexual Assault at a UC Berkeley Housing Facility
 ","Entered: 3 months, 1 week ago",/alert/7228834/,False,False,"Berkeley, CA, USA","(37.8715226, -122.273042)",False,"['The UC Berkeley Police Department received a report of a sexual assault that occurred at a UC Berkeley Housing Facility on 4-13-2019 at 9 PM. The male suspect is known to the female survivor.', 'If you have any information about this crime, or if you know about any recent similar incidents please contact:', 'University of California Police Department', 'Criminal Investigation Bureau', '(510) 642-0472', ' / 8AM–5PM / during business hours, except holidays', '(510) 642-6760', ' / All other times', 'UCPD would like to remind the campus community about the following safety tips:', 'Rape and sexual assault are never the fault of the survivor. It is the behavior of the perpetrator that is wrong.', '80% of sexual assault and rapes are perpetrated by someone known to the survivor, and on college campuses 90% of survivors know their attacker.', 'Sexual assault and rape can happen to people in all contexts, including marriage, dating relationships, friendships, child-parent interactions, employer-attendant relationships and stranger interactions.', 'If you are the victim of a sexual assault and wish to file a police report do not shower or wash your clothing worn during the assault.', 'If you have been the victim of a violent crime the following resources are available toyou:\t', 'Office for the Prevention of Harassment and Discrimination (Title IX) – (510) 643-7985', 'PATH to Care Center - Confidential Care Advocate - (510) 643-2005', 'Tang Social Services (510) 642-6074', 'Bay Area Women Against Rape (BAWAR) - 24-hr line (510) 845-RAPE (7273)', 'The Survivor Support Website - http://survivorsupport.berkeley.edu/', 'Gender Equity Resource Center - (510) 643-5727', 'Employee Assistance – (510) - 643-7754', 'ASUC Student Advocate’s Office- (510) 642-6912', 'Clery Timely Warnings are released by the University California Police Department when certain crimes are reported on or near campus property, in compliance with federal law. These timely warnings provide information about campus safety situations, and allow campus community members to take precautions for personal safety. The reported information may not have been investigated or confirmed at the time the issuance of the warning.', '(Physical descriptions of a suspect, including race are included in timely warnings only when they provide several details that might help distinguish the suspect’s appearance from the general population.)']"
2019-04-13 03:26:00,Community,Advisory Strong Arm Robbery  ,"Entered: 3 months, 1 week ago",/alert/7224200/,False,False,"Berkeley, CA, USA","(37.8715226, -122.273042)",False,"['On 4/12/19 at approximately 10:00 PM, the Berkeley Police Department received reports of a', 'strong-arm robbery that had just occurred on the 2700 block of Dwight Way. The victims', 'reported that they were pushed by two suspects who then grabbed their phones. The two', 'suspects ran into an awaiting get-away vehicle driven by a third suspect which fled east bound on', 'Dwight Way from the scene. This incident is under investigation by the Berkeley Police', 'Department.', 'If you have any information about this crime, please contact:', 'City of Berkeley Police Department', '(510) 981-5900 / 24 Hours', 'UCPD would like to remind the campus community about the following safety tips:', '- Utilize the free Night Safety Services located at http://nightsafety.berkeley.edu', '- Be alert and aware of your surroundings', '- When out and about, keep your electronic devices out of public view as they are a', 'popular robbery target', '- If you need help dial 911 or 510-642-3333 on your cell or use a Blue Light emergency phone', '(located throughout the campus and identified by a blue light on top of the phone box or column).', '- Please do not delay in calling law enforcement. UCPD strongly encourages the reporting of', 'criminal or suspicious activity in a timely manner to assist us in intervening in potential criminal', 'actively and apprehending suspects.', 'This crime alert has been released with the joint cooperation of BPD and UCPD.', 'Community Advisories are released by the University California Police Department when certain crimes are reported on or near campus property,', 'in compliance with federal law. These advisories provide information about campus safety situations, and allow campus community members to', 'take precautions for personal safety. The reported information may not have been investigated or confirmed at the time the issuance of the', 'advisory.']"
