Date,Case,Category,Incident,Location,Synopsis,Disposition
"5/8/19 15:26","","OUTSIDE ASSIST","OUTSIDE ASSIST -MISCELLANEOUS","OHLONE/WEST END","","CLOSED"
"5/8/19 16:05","","LARCENY/THEFT","PETTY THEFT -BIKE REPORT","1608 1608 4TH STREET","","CANCELLED"
"5/8/19 16:13","19-01248","LARCENY/THEFT","PETTY THEFT -REPORT","UNIT-2 TOWLE","05/3/19 0000 - 05/4/19 2330 HOURS (MA-18-S) REPORTS THE THEFT OF HIS CAMERA BAG CONTAINING A SONY CAMERA AND CONTENTS. UNIT 2-TOWLE HALL. TOTAL LOSS OF $1000,00.","UNDER INVESTIGATION"
"5/8/19 16:50","","WELFARE CHECK","WELFARE CHECK","EVANS HALL","","CLOSED"
"5/8/19 17:31","","WELFARE CHECK","CHECK WELFARE- 911 CALL","HEARST FIELD ANNEX","","CLOSED"
"5/8/19 17:52","","VEHICLE CODE VIOLATION","VEHICLE CODE VIOLATION","735 GOODING WAY","","CLOSED BY CITATION"
"5/8/19 18:13","","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE","600 GOODING WAY","","CLOSED"
"5/8/19 19:22","","TRAFFIC STOP","TRAFFIC STOP","2200 CHANING","","WARNING ISSUED"
"5/8/19 20:04","","TRAFFIC STOP","TRAFFIC STOP","PIEDMONT S/BEFORE BANCROFT","","CLOSED BY CITATION"
"5/8/19 21:13","","TRAFFIC STOP","TRAFFIC STOP","MONROE E JACKSON","","WARNING ISSUED"
"5/8/19 21:37","","MISC. SERVICE","MISC SERVICE MOTORIST","BOWDITCH S BANCROFT","","CLOSED"
"5/8/19 21:53","","TRAFFIC STOP","TRAFFIC STOP","SHATUCK/HASTE","","WARNING ISSUED"
"5/8/19 21:58","","TRAFFIC STOP","TRAFFIC STOP","2400 BANCROFT WAY","","CLOSED BY CITATION"
"5/8/19 21:59","","TRAFFIC STOP","TRAFFIC STOP","ADELINE/WARD 7DYG257","","WARNING ISSUED"
"5/8/19 22:01","","MAINTENANCE ISSUE","CAMPUS CONDITION -SECURITY","HARGROVE MUSIC LIBRARY","","CLOSED"
"5/8/19 22:17","","SUSPICIOUS EVENT","SUSPICIOUS VEHICLE","LHS VISTA LOT","","FIELD IDENTIFICATION CARD"
"5/8/19 23:10","","PEDESTRIAN STOP","SUSPECT STOP","OXFORD/HEARST","","FIELD IDENTIFICATION CARD"
"5/8/19 23:16","19-01250","VANDALISM","MALICIOUS MISCHIEF - REPORT","UNIVERSITY HALL","VANDALISM VIA REMOVED BOLTS TO BIKE RACK, UNIVERSITY HALL. FS ADVISED FOR REPAIR","UNDER INVESTIGATION"
"5/8/19 23:19","","VEHICLE CODE VIOLATION","VEHICLE CODE VIOLATION","605 OHLONE AVE","","CLOSED"
"5/8/19 23:22","","TRAFFIC STOP","TRAFFIC STOP","DURANT W DANA","","CLOSED BY CITATION"
"5/9/19 0:17","","TRAFFIC STOP","TRAFFIC STOP","2500 DURANT","","CLOSED BY CITATION"
"5/9/19 0:29","","TRAFFIC STOP","TRAFFIC STOP","DURANT/BOW","","CLOSED BY CITATION"
"5/9/19 2:24","19-01251","ALL OTHER OFFENSES","WARRANT ARREST","PEOPLES PARK","RANGEL, LUCAS (MW-30-O) ARRESTED FOR A CDCR FELONY WARRANT, PEOPLES PARK. TOT JGP FOR PSYCHIATRIC EVALUATION WITH A CRIMINAL HOLD.","CLOSED BY ARREST"
"5/9/19 2:31","","PEDESTRIAN STOP","SUSPECT STOP","MLK","","FIELD IDENTIFICATION CARD"
"5/9/19 2:49","19-01252","DISORDERLY CONDUCT","DRUNK IN PUBLIC","SATHER LANE/BANCROFT","RUIZ, JOEL (MH-33-O) ARRESTED FOR PUBLIC INTOXICATION, SATHER LANE. TOT BPD JAIL TO BE RELEASED ONCE SOBER","CLOSED BY ARREST"
"5/9/19 3:50","","ALL OTHER OFFENSES","TRESPASS - FAIL TO LEAVE","HAAS BUSINESS SCHOOL","","CLOSED"
"5/9/19 4:33","","MISC. SERVICE","SECURITY SURVEY","RICHMOND FIELD STATION","","CLOSED"
"5/9/19 6:57","","MISC. SERVICE","CAMPSITE INVESTIGATION","MEMORIAL GLADE","","FIELD IDENTIFICATION CARD"
"5/9/19 8:51","19-01253","MISC. SERVICE","CIVIL ADVICE","UNIT-1 PUTNAM","OCCURRED: 05/7/19 - 05/9/19 (MZ-18-S) GIVEN CIVIL ADVICE REGARDING INTERNET SCAM, UNIT 1-PUTNAM HALL.","UNDER INVESTIGATION"
"5/9/19 9:59","","ALL OTHER OFFENSES","DISTURBING THE PEACE","LOWER SPROUL PLAZA","","CLOSED"
"5/9/19 10:19","19-01254","OUTSIDE ASSIST","OUTSIDE ASSIST - BPD","BANCROFT TELEGRAPH","OCCURRED: 15/09/19 1023 HOURS OUTSIDE ASSIST TO BPD WITH ARREST AND TRANSPORT, BANCROFT/TELEGRAPH. TO BPD JAIL.","CLOSED BY ARREST"
"5/9/19 11:03","","WELFARE CHECK","CHECK WELFARE- 911 CALL","STEPHENS HALL","","CLOSED"
"5/9/19 11:26","19-01255","MEDICAL EVENT","INJURY OR ILLNESS","VALLEY LIFE SCIENCE BLDG","OCCURRED: 05/09/19 1126 HOURS (FO-31-S) VICTIM OF ILLNESS, VLSB. BFD RESPONDED AND TRANSPORTED TO ABH.","CLOSED"
"5/9/19 11:35","","OUTSIDE ASSIST","OUTSIDE ASSIST -BOMB UNIT","800 BUCHANAN","","CLOSED"
"5/9/19 12:55","19-01257","LARCENY/THEFT","GRAND THEFT -REPORT","ASUC","(FA-21-S) REPORTS THE THEFT OF HER SILVER APPLE MACBOOK PRO, MLK. LOSS OF $1000.00. PROPERTY RECOVERED. SUSPECTS: #1: MB, HIGH SCHOOL AGE, WHITE SWEATSHIRT, BLUE JEANS.  #2: MB, RED SWEATSHIRT, BLACK JEANS.  #3: MW, TEEN, RED HOODY SWEATSHIRT","UNDER INVESTIGATION"
"5/9/19 12:58","19-01256","ALL OTHER OFFENSES","DISTURBING THE PEACE","HAAS BUSINESS SCHOOL","OCCURRED: 05/09/19 1258 HOURS (MH-35-O) EXCLUDED FROM CAMPUS FOR 7 DAYS, HBS","UNDER INVESTIGATION"
"5/9/19 14:38","19-01258","OUTSIDE ASSIST","OUTSIDE ASSIST - BPD","2120 OXFORD","OCCURRED: 05/09/19 1430 HOURS OUTSIDE ASSIST TO BPD WITH TRAFFIC COLLISION, IFO 2120 OXFORD.","UNDER INVESTIGATION"
"5/9/19 16:48","","MISSING PERSON","MISSING JUVENILE","2515 CHANNING WAY","","CLOSED"
"5/9/19 17:07","","ALL OTHER OFFENSES","DISTURBING THE PEACE","UPPER SPROUL PLAZA","","CLOSED"
"5/9/19 17:26","","ALL OTHER OFFENSES","DISTURBING THE PEACE","DOE LIBRARY","","CLOSED"
"5/9/19 18:35","19-01260","WELFARE CHECK","WELFARE CHECK","UNIT-3 IDA SPROUL","(FA-18-S) CONDUCTED WELFARE CHECK, UNIT-3 IDA SPROUL. PROVES OK","UNDER INVESTIGATION"
"5/9/19 19:02","","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE","STRUCTURE B","","CLOSED"
"5/9/19 19:35","19-01259","OTHER ASSAULTS","BATTERY","LOWER SPROUL PLAZA","(MW-37-O) VICTIM FELONY BATTERY, LOWER SPROUL PLAZA. BFD RESPONDED AND TRANSPORTED TO HIGHLANDS.","CLOSED BY ARREST"
"5/9/19 20:06","19-01261","LARCENY/THEFT","PETTY THEFT -REPORT","580 OHLONE AVE","OCC 05/09/2019 1131-1800 (MX-35-O) REPORTS THEFT OF PACKAGE, 580 OHLONE AVE. LOSS OF $695.50","UNDER INVESTIGATION"
"5/9/19 21:09","","MISC. SERVICE","MISC SERVICE MOTORIST","BOWDITCH/BANCROFT","","CLOSED"
"5/9/19 21:59","","DISORDERLY CONDUCT","LODGING","ESHLEMAN HALL","","FIELD IDENTIFICATION CARD"
"5/9/19 22:37","","PEDESTRIAN STOP","SUSPECT STOP","MLK","","CLOSED"
"5/9/19 22:51","","PEDESTRIAN STOP","SUSPECT STOP","MLK","","CLOSED"
"5/10/19 0:16","","ALL OTHER OFFENSES","DISTURBING THE PEACE","MINOR HALL","","CLOSED"
"5/10/19 5:13","19-01262","LARCENY/THEFT","PETTY THEFT -REPORT","580 OHLONE AVE","OCC 05/02/2019 1537 (MX-35-O) REPORTS THEFT OF PACKAGE, 580 OHLONE AVE. LOSS OF $35.00","UNDER INVESTIGATION"
"5/10/19 8:20","19-01263","MISC. SERVICE","PROPERTY DAMAGE","CLARK KERR CAMPUS","OCCD 5/9/19 1900 - 5/10/19 0800 HRS (FW-32-E) REPORTS PROPERTY DAMAGE TO HER LT BLU DODGE STRATUS, 6WQE717, CKC SW LOT.","UNDER INVESTIGATION"
"5/10/19 8:58","19-01265","ANIMAL CASE","ANIMAL BITE","JACKSON/MONROE","OCCD 5/10/19. 0848 HRS (MH-32-S) REPORTS DOG BITE TO HIS SON, JACKSON/MONROE-UVA. ANIMAL CONTROL NOTIFIED, DID NOT MEET CRITERIA.","UNDER INVESTIGATION"
"5/10/19 9:18","19-01264","MEDICAL EVENT","INJURY OR ILLNESS","LBNL-70A","OCCURRED: 05/10/19 0918 HOURS (MA-33-E) VICTIM OF ILLNESS, LBNL-70A. ACFD AND BFD RESPONDED. VICTIM TRANSPORTED TO ABH.","CLOSED"
"5/10/19 10:07","","TRAFFIC STOP","TRAFFIC STOP","SAN PABLO/HARRISON","","CLOSED BY CITATION"
"5/10/19 11:28","","WELFARE CHECK","CHECK WELFARE- 911 CALL","HAAS PAVILION","","CLOSED"
"5/10/19 11:29","19-01266","AGGRAVATED ASSAULTS","FELONY CHILD BEATING","1123 JACKSON STREET","OCCD 5/9/19, 1145 HRS (FBA-E) REPORTS SUSPECTED CHILD ABUSE, 1123 JACKSON ST. PROVES UNFOUNDED, CPS NOTIFIED.","UNDER INVESTIGATION"
"5/10/19 12:10","","MISC. SERVICE","FOUND PROPERTY","ENERGY BIOSCIENCES INSTITUTE","","CLOSED"
"5/10/19 12:35","","MISC. SERVICE","FOUND PROPERTY","SPROUL HALL","","CLOSED"
"5/10/19 12:43","","WELFARE CHECK","WELFARE CHECK","NW ANIM FACIL","","CLOSED"
"5/10/19 12:52","","DISORDERLY CONDUCT","LODGING","UNIVERSITY HALL","","CLOSED"
"5/10/19 13:19","","OUTSIDE ASSIST","OUTSDE ASSIST BPD COVER","SHATTUCK ALLSTON","","CLOSED"
"5/10/19 13:24","","TRAFFIC STOP","TRAFFIC STOP","FULTON DURANT","","WARNING ISSUED"
"5/10/19 14:19","","SUSPICIOUS EVENT","SUSPICIOUS VEHICLE","PEOPLES PARK","","WARNING ISSUED"
"5/10/19 14:50","19-01267","LARCENY/THEFT","AUTO BURGLARY -REPORT","BANCROFT\FULTON LOT","OCCD 5/3/19 1200 - 1700 HRS (MW-75-O) REPOTRS AUTO BURGLARY VIA OPEN WINDOW TO HIS ORANGE 2016 BMW 228I, RLXING, 2200 BANCROFT WAY LOT. LOSS $1283.","UNDER INVESTIGATION"
"5/10/19 14:59","","SUPPLEMENT","SUPPLEMENT","JGP","","CLOSED"
"5/10/19 15:36","","SUSPICIOUS EVENT","SUSPICIOUS PACKAGE","BOALT HALL","","UNFOUNDED"
"5/10/19 15:43","","ANIMAL CASE","ANIMAL CASE","CKC TRACK","","CLOSED"
"5/10/19 17:13","","VEHICLE CODE VIOLATION","VEHICLE CODE VIOLATION","540 RED OAK AVE","","CLOSED"
"5/10/19 17:22","19-01268","OTHER ASSAULTS","SPOUSAL/COHAB ABUSE (MISD)","685 LIBERTY SHIP WAY","OCC 05/10/2019 1722 (MH-35-E) REPORTS POSSIBLE SPOUSAL ABUSE INVOLVING TWO UNIVERSITY VILLAGE RESIDENTS, UVA-163. REFERRED TO CIB FOR FURTHER INVESTIGATION","UNDER INVESTIGATION"
"5/10/19 19:45","","ALL OTHER OFFENSES","DISTURBING THE PEACE","PEOPLES PARK","","CLOSED"
"5/10/19 19:56","","TRAFFIC STOP","TRAFFIC STOP","DURANT/BOW","","WARNING ISSUED"
"5/10/19 21:47","","DISORDERLY CONDUCT","LODGING","CKC-12","","CLOSED"
"5/10/19 22:37","19-01269","SUSPICIOUS EVENT","SUSPICIOUS PACKAGE","ASUC","SUSPICIOUS PACKAGE FOUND, LOWER SPROUL PLAZA. BOMB TECH RESPONDED PROVED OK.","UNDER INVESTIGATION"
"5/10/19 23:07","","ALL OTHER OFFENSES","DISTURBING PEACE-ENTERTAINMENT","UNIVERSITY VILLAGE ALBANY","","CLOSED"
"5/10/19 23:41","","MAINTENANCE ISSUE","CAMPUS CONDITION -UTILITIES","LIFE SCIENCE ADDITION","","CLOSED"
"5/10/19 23:43","","SUSPICIOUS EVENT","SUSPICIOUS VEHICLE","CSS","","CLOSED"
"5/11/19 0:18","","TRAFFIC STOP","TRAFFIC STOP","2516 WARRING ST","","WARNING ISSUED"
"5/11/19 0:35","","LARCENY/THEFT","PETTY THEFT -REPORT","EVANS HALL","","CLOSED"
"5/11/19 0:41","19-01270","FIRE","FIRE OF UNKNOWN TYPE","CLARK KERR CAMPUS","(MW-23-S) REPORTS FIRE TO HIS TEAL 1974 VOLKSWAGEN BUS 170JVO, N/W PARKING LOT CKC. BFD RESPONDED AND EXTINGUISHED.","UNDER INVESTIGATION"
"5/11/19 0:50","","TRAFFIC STOP","TRAFFIC STOP","BANCROFT/LANE","","WARNING ISSUED"
"5/11/19 0:56","19-01271","LARCENY/THEFT","PETTY THEFT -BIKE REPORT","BIRGE HALL","OCC 05/10/2019 1410 15/11/2019 0045 (MW-23-S) REPORTS THEFT OF HIS GRAY CANNON DALE F400 MENS HYBRYD BICYCLE, BIRGE HALL. LOSS OF $120","UNDER INVESTIGATION"
"5/11/19 1:42","","SUSPICIOUS EVENT","SUSPICIOUS PERSON","405 RED OAK AVE","","CLOSED"
"5/11/19 2:50","19-01272","DRIVING UNDER THE INFLUENCE","MISDEMEANOR DRUNK DRIVING","2495 BANCROFT WAY","SURRELL, BRYANT (MB-38-O) ARRESTED FOR MISDEMEANOR DRUNK DRIVING AND DRIVING WITH A BAC GREATER THAN .O8%, 2495 BANCROFT AVE. TOT BPD JAIL.","CLOSED BY ARREST"
"5/11/19 5:19","","WELFARE CHECK","CHECK WELFARE- 911 CALL","FOOTHILL-4","","CLOSED"
"5/11/19 7:06","19-01273","MISC. SERVICE","PROPERTY DAMAGE","UPPER SPROUL PLAZA","OCCURRED: 05/11/19 0701 HOURS (MB-54-E) REPORTS PROPERTY DAMAGE TO N/E HAND RAIL, UPPER SPROUL PLAZA.","UNDER INVESTIGATION"
"5/11/19 8:27","","SUSPICIOUS EVENT","SUSPICIOUS PERSON","RFS-201","","CLOSED"
"5/11/19 9:13","","WELFARE CHECK","CHECK WELFARE- 911 CALL","BARROWS HALL","","CLOSED"
"5/11/19 11:04","19-01274","LARCENY/THEFT","PETTY THEFT -REPORT","605 OHLONE AVE","OCCD 5/10/19 1830 - 5/11/19 0730 HRS (MW-42-E) REPORTS THE THEFT OF HIS STROLLER, 605 OHLONE AVE- UVA. RECOVERED DAMAGED AT SCENE.","UNDER INVESTIGATION"
"5/11/19 11:15","","OTHER ASSAULTS","BATTERY","MLK","","CLOSED"
"5/11/19 13:43","","OUTSIDE ASSIST","OUTSIDE ASSIST - BPD","2450 BLK TELEGRAPH","","CLOSED"
"5/11/19 14:03","","ALL OTHER OFFENSES","RULE VIOLATION","HAAS BUSINESS SCHOOL","","CLOSED"
"5/11/19 14:09","19-01275","MEDICAL EVENT","INJURY OR ILLNESS","PEOPLES PARK","OCCD 5/11/19, 1409 HRS (MW-27-O) VICTIM OF DRUG RELATED ILLNESS, PEOPLES PARK. TO ABH VIA BFD.","CLOSED"
"5/11/19 14:45","","WELFARE CHECK","CHECK WELFARE- 911 CALL","EVANS HALL","","CLOSED"
"5/11/19 14:50","19-01276","MEDICAL EVENT","INJURY OR ILLNESS","REC SPRT FAC","OCCD 5/11/19, 1450 HRS (FA-22-S) VICTIM OF ILLNESS, RSF. BFD RESPONDED, VICTIM SOUGHT OWN MEDICAL AT TANG CENTER.","CLOSED"
"5/11/19 14:59","19-01277","MEDICAL EVENT","INJURY OR ILLNESS","PEOPLES PARK","OCCD 5/11/19, 1459 HRS (MW-37-O) VICTIM OF ILLNESS, PEOPLES PARK. TO ABH VIA BFD.","CLOSED"
"5/11/19 15:10","","PEDESTRIAN STOP","SUSPECT STOP","PEOPLES PARK","","FIELD IDENTIFICATION CARD"
"5/11/19 15:14","19-01278","PENAL CODE VIOLATION","PENAL CODE VIOLATION","PEOPLES PARK","OCCD 5/11/19, 1514 HRS TIMMS, JESSE (MW-36-O) ARRESTED FOR DIGGING ON PRIVATE LANDS, BATTERY AGAINST A PEACE OFFICER AND RESISTING ARREST, PEOPLES PARK. TO ABH VIA PPLUS FOR PSYCHIATRIC EVALUATION WITH A CRIMINAL HOLD.","CLOSED BY ARREST"
"5/11/19 15:37","","WELFARE CHECK","WELFARE CHECK","STRUCTURE C","","CLOSED"
"5/11/19 16:31","","WELFARE CHECK","WELFARE CHECK","UNKNOWN","","CLOSED"
"5/11/19 20:38","","PEDESTRIAN STOP","SUSPECT STOP","DWINELLE HALL","","CLOSED"
"5/11/19 21:01","19-01279","LARCENY/THEFT","AUTO BURGLARY -REPORT","GOLDEN BEAR REC CENTER","OCCURED: 05/11/19 1820-2100. (FW-43-E) REPORTS AUTO BURGLARY VIA WINDOW SMASH TO HER WHITE 2013 INFINITI JX35, 7BZP646, GOLDEN BEAR REC CENTER, NO LOSS.","UNDER INVESTIGATION"
"5/11/19 21:25","19-01280","FIRE","FIRE OF UNKNOWN TYPE","CORY HALL","OCCURED: 05/11/19 2120 FIRE CAUSED BY LITHIUM BATTERY, CORY HALL ROOM 337D. BFD, AND FIRE MARSHAL RESPONDED.","UNDER INVESTIGATION"
"5/11/19 21:59","","MAINTENANCE ISSUE","CAMPUS CONDITION -SECURITY","NORTHGATE HALL","","CLOSED"
"5/12/19 0:07","","MAINTENANCE ISSUE","CAMPUS CONDITION -SECURITY","ESHLEMAN HALL","","CLOSED"
"5/12/19 0:34","19-01281","MEDICAL EVENT","INJURY OR ILLNESS","EAST ASIAN LIBRARY","OCCURED: 05/12/19 0024 (FA-21-S) VICTIM OF INJURY, S/E EAST ASIAN LIBRARY. VICTIM TO SEEK OWN MEDICAL.","CLOSED"
"5/12/19 0:44","","PEDESTRIAN STOP","SUSPECT STOP","STRUCTURE C","","WARNING ISSUED"
"5/12/19 1:02","","PEDESTRIAN STOP","SUSPECT STOP","UNDERHILL LOT","","CLOSED"
"5/12/19 2:50","","PEDESTRIAN STOP","SUSPECT STOP","LOWER SPROUL GARAGE","","CLOSED"
"5/12/19 4:36","","WELFARE CHECK","CHECK WELFARE- 911 CALL","2427 DWIGHT WAY","","CLOSED"
"5/12/19 5:21","","MAINTENANCE ISSUE","CAMPUS CONDITION -GROUNDS","UNIT-2","","CLOSED"
"5/12/19 7:42","","WELFARE CHECK","CHECK WELFARE- 911 CALL","BOALT HALL","","CLOSED"
"5/12/19 8:04","","WELFARE CHECK","CHECK WELFARE- 911 CALL","SIMON HALL","","CLOSED"
"5/12/19 10:33","","WELFARE CHECK","CHECK WELFARE- 911 CALL","UPPER SPROUL PLAZA","","CLOSED"
"5/12/19 10:51","","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE","RICHMOND FIELD STATION","","CLOSED"
"5/12/19 11:05","","WELFARE CHECK","CHECK WELFARE- 911 CALL","UNIVERSITY HALL","","CLOSED"
"5/12/19 11:29","","PEDESTRIAN STOP","SUSPECT STOP","2120 OXFORD","","FIELD IDENTIFICATION CARD"
"5/12/19 11:48","","PEDESTRIAN STOP","SUSPECT STOP","LOWER SPROUL PLAZA","","CLOSED"
"5/12/19 12:03","","SUSPICIOUS EVENT","SUSPICIOUS VEHICLE","BANWAY LOT","","CLOSED"
"5/12/19 12:33","","MISC. SERVICE","TIP411 SERVICE CALL","CESAR CHAVEZ CENTER","","CLOSED"
"5/12/19 13:13","19-01282","CALIFORNIA CODE OF REGULATIONS VIOLATIONS","CALIFORNIA CODE OF REGULATIONS","DWINELLE PLAZA","OCCD 5/12/19, 1313 HRS (MB-30-O) IN VIOLATION OF HAVING A BLADE OVER 2.5 INCHES ON CAMPUS, DWINELLE PLAZA.","UNDER INVESTIGATION"
"5/12/19 16:24","","WELFARE CHECK","CHECK WELFARE- 911 CALL","MCCONE HALL","","CLOSED"
"5/12/19 17:16","19-01283","WEAPONS VIOLATIONS","POSS KNIFE ON UNIV GROUNDS","LOWER SPROUL PLAZA","OCCURED: 05/12/19 1732 SOLLARS, ANDREW J (MB-30-S) ARRESTED FOR POSSESSION OF A KNIFE LARGER THAN 2.5 INCHES ON UNIVERSITY PROPERTY, AND RESISTING ARREST, LOWER SPROUL PLAZA. TO BPD JAIL.","CLOSED BY ARREST"
"5/12/19 17:37","","PEDESTRIAN STOP","PEDESTRIAN STOP","ASUC","","CLOSED"
"5/12/19 19:09","19-01285","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE","TRACY CA","OCCURED: 05/12/19 (MOA-O) REPORTS SUSPICIOUS CIRCUMSTANCE REGARDING RECEIVED SUSPICIOUS EMAILS, TRACY, CA.","UNDER INVESTIGATION"
"5/12/19 19:11","19-01284","LARCENY/THEFT","GRAND THEFT -REPORT","GRINNELL PATH","OCCURED: 05/12/19 1800-1820. (FW-38-F) REPORTS THEFT OF HER SAMSUNG S9 CELLPHONE, AND PURSE/CONTENTS, GRINNELL PATH, LOSS: $1130.","UNDER INVESTIGATION"
"5/12/19 20:12","","WELFARE CHECK","CHECK WELFARE- 911 CALL","2520 CHANNING WAY","","CLOSED"
"5/12/19 20:13","","SUSPICIOUS EVENT","SUSPICIOUS PERSON","VALLEY LIFE SCIENCE BLDG","","CLOSED"
"5/12/19 20:54","","OUTSIDE ASSIST","OUTSIDE ASSIST -MISCELLANEOUS","RICHMOND FIELD STATION","","CLOSED"
"5/12/19 22:18","","MISC. SERVICE","CIVIL ADVICE","DWINELLE HALL","","CLOSED"
"5/12/19 23:05","","TRAFFIC STOP","TRAFFIC STOP","BAN E DANA","","WARNING ISSUED"
"5/13/19 0:06","","SUSPICIOUS EVENT","SUSPICIOUS PERSON","CESAR CHAVEZ CENTER","","FIELD IDENTIFICATION CARD"
"5/13/19 0:21","","PEDESTRIAN STOP","SUSPECT STOP","LOWER SPROUL PLAZA","","CLOSED"
"5/13/19 0:34","","ALL OTHER OFFENSES","RULE VIOLATION","AQUATIC CENTER","","CLOSED"
"5/13/19 0:34","","PEDESTRIAN STOP","SUSPECT STOP","CALIFORNIA HALL","","CLOSED"
"5/13/19 1:26","","PEDESTRIAN STOP","SUSPECT STOP","2625 DURANT AV","","FIELD IDENTIFICATION CARD"
"5/13/19 1:29","","WELFARE CHECK","WELFARE CHECK","DWINELLE HALL","","CLOSED"
"5/13/19 2:03","","SUSPICIOUS EVENT","SUSPICIOUS PERSON","RICHMOND FIELD STATION","","FIELD IDENTIFICATION CARD"
"5/13/19 6:51","","WELFARE CHECK","CHECK WELFARE- 911 CALL","CESAR CHAVEZ CENTER","","CLOSED"
"5/13/19 7:04","","PEDESTRIAN STOP","SUSPECT STOP","LOWER SPROUL PLAZA","","FIELD IDENTIFICATION CARD"
"5/13/19 7:37","19-01286","MISC. SERVICE","PROPERTY DAMAGE","BARROWS LANE","OCCD 5/12/19, 0737 HRS PROPERTY DAMAGE TO D18, BARROWS LANE.","UNDER INVESTIGATION"
"5/13/19 8:06","19-01287","MISC. SERVICE","PROPERTY DAMAGE","2515 CHANNING WAY","OCCD 5/11/19 1300 HRS (MB-37-E) REPORTS PROPERTY DAMAGE TO UC VAN, 2515 CHANNING WAY.","UNDER INVESTIGATION"
